
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. aufgabe1, 20, 31, 16, 0, 0, 0, 0, 2, 26
.	. hex4x7seg, 20, 31, 16, 0, 0, 0, 0, 0, 0
